depth_road,elevation,dams,outlet,green,roughness,hand,backwater,dtr,24_hour,2_hour,hour
0.179495,9.064541816711426,648.2492065429688,648.2492065429688,1.0,5.0,8.584542274475098,8516.9912109375,612.388916015625,76.69302413798869,24.553208351135254,15.198623657226562
0.072855,8.860222816467285,641.2028198242188,641.2028198242188,1.0,4.0,8.380223274230957,8386.373046875,611.3321533203125,76.69302413798869,24.553208351135254,15.198623657226562
0.105241,8.786842346191406,641.2028198242188,641.2028198242188,1.0,4.0,8.306842803955078,8386.373046875,611.3321533203125,76.69302413798869,24.553208351135254,15.198623657226562
0.0673828,8.683473587036133,641.2028198242188,641.2028198242188,1.0,4.0,8.203474044799805,8386.373046875,611.3321533203125,76.69302413798869,24.553208351135254,15.198623657226562
0.0529156,8.500885009765625,643.854248046875,643.854248046875,1.0,4.0,8.020885467529297,8353.73828125,647.2928466796875,76.69302413798869,24.553208351135254,15.198623657226562
0.104671,8.377847671508789,643.854248046875,643.854248046875,1.0,4.0,7.897847652435303,8353.73828125,647.2928466796875,76.69302413798869,24.553208351135254,15.198623657226562
0.0967236,8.695635795593262,643.854248046875,643.854248046875,1.0,4.0,8.215636253356934,8353.73828125,611.3321533203125,76.69302413798869,24.553208351135254,15.198623657226562
0.103267,8.480512619018555,643.854248046875,643.854248046875,1.0,4.0,8.000513076782227,8353.73828125,647.2928466796875,76.69302413798869,24.553208351135254,15.198623657226562
0.0525007,8.377847671508789,643.854248046875,643.854248046875,1.0,4.0,7.897847652435303,8353.73828125,647.2928466796875,76.69302413798869,24.553208351135254,15.198623657226562
0.118924,8.099714279174805,677.379150390625,677.379150390625,1.0,5.0,7.619714260101318,8362.2314453125,647.2928466796875,76.69302413798869,24.553208351135254,15.198623657226562
0.159062,8.026129722595215,681.5579833984375,681.5579833984375,1.0,5.0,7.5461297035217285,8329.6396484375,683.2535400390625,76.69302413798869,24.553208351135254,15.198623657226562
0.0525579,8.956245422363281,443.2657775878906,443.2657775878906,1.0,5.0,8.476245880126953,8239.845703125,431.528564453125,76.69302413798869,24.553208351135254,15.198623657226562
0.729071,7.875790596008301,677.379150390625,677.379150390625,1.0,5.0,7.3957905769348145,8297.056640625,683.2535400390625,76.69302413798869,24.553208351135254,15.198623657226562
0.875803,7.875790596008301,677.379150390625,677.379150390625,1.0,5.0,7.3957905769348145,8297.056640625,683.2535400390625,76.69302413798869,24.553208351135254,15.198623657226562
0.0686798,8.320294380187988,443.2657775878906,443.2657775878906,1.0,5.0,7.840294361114502,8239.845703125,431.528564453125,76.69302413798869,24.553208351135254,15.198623657226562
0.118814,8.07432746887207,439.4056091308594,439.4056091308594,1.0,5.0,7.594327449798584,8207.044921875,431.528564453125,76.69302413798869,24.553208351135254,15.198623657226562
0.142412,8.07432746887207,439.4056091308594,439.4056091308594,1.0,5.0,7.594327449798584,8207.044921875,431.528564453125,76.69302413798869,24.553208351135254,15.198623657226562
1.44585,7.875790596008301,708.520263671875,708.520263671875,1.0,4.0,7.3957905769348145,8208.1513671875,683.2535400390625,76.69302413798869,24.553208351135254,15.198623657226562
3.47608,4.65866231918335,394.4585876464844,394.4585876464844,1.0,4.0,4.178662300109863,8487.8037109375,331.5414123535156,76.69302413798869,24.553208351135254,15.198623657226562
3.21046,4.65866231918335,394.4585876464844,394.4585876464844,1.0,5.0,4.178662300109863,8487.8037109375,366.728759765625,76.69302413798869,24.553208351135254,15.198623657226562
2.86127,9.064541816711426,977.9061889648438,977.9061889648438,1.0,5.0,8.584542274475098,8541.2265625,970.9392700195312,76.69302413798869,24.553208351135254,15.198623657226562
1.86127,9.064541816711426,1078.954345703125,1078.954345703125,0.0,5.0,8.584542274475098,8570.4970703125,1078.8214111328125,76.69302413798869,24.553208351135254,15.198623657226562
